hour,day_of_week,vehicle_count,weather,accident,road_type,event,congestion_level
6,1,131,2,1,1,1,69.93
19,3,653,1,0,1,0,30.59
14,5,1760,1,1,1,0,94.8
10,6,1824,2,1,1,0,100.0
7,1,821,2,0,0,0,52.629999999999995
20,3,952,2,0,1,0,55.56
6,5,414,1,1,1,0,49.42
18,5,212,1,0,0,1,31.36
22,1,1121,0,0,0,1,49.629999999999995
10,6,560,1,0,0,1,42.8
10,4,1402,1,1,1,1,95.06
23,4,1913,1,0,0,0,72.39
20,5,165,2,1,1,0,52.95
3,4,990,1,1,0,1,87.7
7,0,1922,2,1,0,1,100.0
23,5,386,0,1,1,1,56.58
2,5,930,0,0,0,1,47.9
21,3,786,2,1,0,1,92.58
20,4,1937,2,0,0,1,100.0
1,6,889,2,1,0,1,86.67
23,5,196,1,0,0,1,37.879999999999995
11,6,1648,0,1,1,0,76.44
5,0,1879,2,0,1,0,81.37
1,3,1396,1,1,0,0,78.88
20,1,492,0,1,1,0,40.76
0,6,886,1,0,1,1,55.58
11,5,1086,0,1,1,0,57.58
21,0,992,1,1,0,1,87.75999999999999
11,2,1567,0,1,0,0,78.00999999999999
16,0,1774,0,0,0,1,70.22
9,0,336,1,1,1,1,63.08
15,3,769,2,1,1,0,73.07
14,1,1187,0,0,0,0,37.61
14,2,529,2,0,0,1,56.87
18,4,71,1,0,1,1,32.129999999999995
11,4,1422,2,0,1,1,85.66
22,6,1799,2,0,0,0,77.97
19,0,732,2,1,1,0,69.96000000000001
2,3,1908,2,1,1,1,100.0
4,3,1639,2,1,1,0,100.0
18,4,955,0,0,1,1,43.65
6,6,1883,0,1,1,0,83.49
20,6,369,0,0,1,0,13.07
8,6,175,1,0,1,0,21.25
6,2,326,2,1,0,0,60.78
17,1,1277,0,0,0,0,38.309999999999995
3,2,243,1,0,1,1,34.29
13,5,1754,0,1,1,1,99.62
17,5,1737,0,0,1,0,60.11
8,1,1620,2,0,0,1,89.6
20,4,745,1,1,0,1,78.35
1,1,1359,2,0,1,0,67.77
19,3,106,2,0,0,1,43.18
14,5,1807,0,1,1,0,81.21000000000001
6,0,1376,2,1,1,1,100.0
11,0,1236,1,1,1,1,93.08
7,4,68,2,1,1,1,62.04
14,3,1443,2,0,1,1,78.28999999999999
2,2,313,2,0,1,1,52.39
13,3,843,0,1,1,1,74.28999999999999
16,0,162,1,0,0,1,35.86
3,0,1561,0,0,1,0,49.83
17,5,1400,0,1,0,0,72.0
7,3,591,0,1,1,0,42.730000000000004
3,3,696,0,0,1,0,26.88
1,0,628,0,1,0,1,63.84
5,2,1138,1,1,0,1,87.14
21,4,1365,2,1,1,1,100.0
9,6,74,0,0,0,0,4.22
3,4,1622,0,1,1,0,73.66
21,3,50,1,0,1,0,14.5
17,4,960,1,0,0,1,55.8
11,0,1622,2,0,0,0,68.66
1,0,190,1,1,0,1,56.7
9,3,1817,2,1,0,0,100.0
3,3,697,0,1,1,1,67.91
13,6,1974,0,1,0,0,84.22
15,6,237,2,1,0,1,70.11
14,5,1201,1,0,0,0,49.03
7,3,250,2,0,0,0,31.5
13,2,1200,1,0,0,1,67.0
22,4,306,0,1,1,1,56.18
7,3,1749,1,0,1,0,67.47
20,1,596,2,0,0,1,52.879999999999995
15,5,243,2,1,0,0,58.29
12,1,752,0,1,1,1,64.56
17,0,1177,1,0,0,0,50.309999999999995
14,6,1608,1,0,1,1,80.24
20,4,1338,1,1,1,0,81.14
23,3,851,0,1,0,0,59.53
12,1,991,1,1,1,0,69.73
8,4,1457,2,1,0,1,100.0
14,0,1333,1,0,0,0,57.99
12,6,463,0,0,1,1,28.89
0,2,1431,1,1,1,1,92.93
6,5,1148,1,0,0,1,59.44
8,4,1428,2,0,1,0,69.84
23,4,1657,1,1,0,1,100.0
0,2,1844,2,0,1,1,96.32
11,4,959,2,0,1,1,65.77
7,0,237,0,0,0,0,8.11
23,0,1758,2,1,0,1,100.0
10,2,1363,2,1,0,1,100.0
18,5,94,0,0,1,1,23.82
16,3,1646,2,1,0,1,100.0
7,1,132,0,1,0,0,35.96
2,3,1196,1,1,1,0,75.88
2,4,407,0,0,1,1,29.21
0,1,1601,2,0,0,1,88.03
