hour,day_of_week,vehicle_count,weather,accident,road_type,event,congestion_level,cluster
6,1,131,2,1,1,1,69.93,1
19,3,653,1,0,1,0,30.59,1
14,5,1760,1,1,1,0,94.8,0
10,6,1824,2,1,1,0,100.0,2
7,1,821,2,0,0,0,52.63,1
20,3,952,2,0,1,0,55.56,0
6,5,414,1,1,1,0,49.42,1
18,5,212,1,0,0,1,31.36,1
22,1,1121,0,0,0,1,49.63,0
10,6,560,1,0,0,1,42.8,1
10,4,1402,1,1,1,1,95.06,2
23,4,1913,1,0,0,0,72.39,0
20,5,165,2,1,1,0,52.95,1
3,4,990,1,1,0,1,87.7,2
7,0,1922,2,1,0,1,100.0,2
23,5,386,0,1,1,1,56.58,1
2,5,930,0,0,0,1,47.9,2
21,3,786,2,1,0,1,92.58,0
20,4,1937,2,0,0,1,100.0,0
1,6,889,2,1,0,1,86.67,2
23,5,196,1,0,0,1,37.88,1
11,6,1648,0,1,1,0,76.44,2
5,0,1879,2,0,1,0,81.37,2
1,3,1396,1,1,0,0,78.88,2
20,1,492,0,1,1,0,40.76,1
0,6,886,1,0,1,1,55.58,2
11,5,1086,0,1,1,0,57.58,1
21,0,992,1,1,0,1,87.75999999999999,0
11,2,1567,0,1,0,0,78.00999999999999,2
16,0,1774,0,0,0,1,70.22,0
9,0,336,1,1,1,1,63.08,1
15,3,769,2,1,1,0,73.07,0
14,1,1187,0,0,0,0,37.61,1
14,2,529,2,0,0,1,56.87,1
18,4,71,1,0,1,1,32.129999999999995,1
11,4,1422,2,0,1,1,85.66,2
22,6,1799,2,0,0,0,77.97,0
19,0,732,2,1,1,0,69.96000000000001,0
2,3,1908,2,1,1,1,100.0,2
4,3,1639,2,1,1,0,100.0,2
18,4,955,0,0,1,1,43.65,1
6,6,1883,0,1,1,0,83.49,2
20,6,369,0,0,1,0,13.07,1
8,6,175,1,0,1,0,21.25,1
6,2,326,2,1,0,0,60.78,1
17,1,1277,0,0,0,0,38.31,1
3,2,243,1,0,1,1,34.29,1
13,5,1754,0,1,1,1,99.62,0
17,5,1737,0,0,1,0,60.11,0
8,1,1620,2,0,0,1,89.6,2
20,4,745,1,1,0,1,78.35,0
1,1,1359,2,0,1,0,67.77,2
19,3,106,2,0,0,1,43.18,1
14,5,1807,0,1,1,0,81.21000000000001,0
6,0,1376,2,1,1,1,100.0,2
11,0,1236,1,1,1,1,93.08,2
7,4,68,2,1,1,1,62.04,1
14,3,1443,2,0,1,1,78.28999999999999,0
2,2,313,2,0,1,1,52.39,1
13,3,843,0,1,1,1,74.28999999999999,0
16,0,162,1,0,0,1,35.86,1
3,0,1561,0,0,1,0,49.83,2
17,5,1400,0,1,0,0,72.0,0
7,3,591,0,1,1,0,42.73,1
3,3,696,0,0,1,0,26.88,1
1,0,628,0,1,0,1,63.84,2
5,2,1138,1,1,0,1,87.14,2
21,4,1365,2,1,1,1,100.0,0
9,6,74,0,0,0,0,4.22,1
